tier,country,example,nso,nso_domain,identifies,sdg_vars_in_census,displaced_population,specialized_report_checked,route,priority_reason
1,Malawi,ex316,National Statistical Office,nsomalawi.mw,refugees,"6.1.1,6.2.1,7.1.1,4.1.2,11.1.1,16.9.1",Dzaleka camp ~50k refugees (Dowa district),RESOLVED — JDC Dzaleka report (Malawi DHS 2024) gave water 30%/sanit 76%/birthreg 92% (ON MAP),DONE via existing report,Census route no longer needed; DHS-based JDC report already published the disaggregation
1,Jordan,ex066,Department of Statistics,dosweb.dos.gov.jo,refugees,"7.1.1,4.1.2,11.1.1,16.9.1",~700k registered Syrian refugees + others,2015 census reports refugee counts; no SDG disaggregation published,OUTREACH,Very large refugee population already enumerated; strong GAIN relevance
1,South Africa,ex397,Statistics South Africa,statssa.gov.za,refugees/IDP,"6.1.1,6.2.1,7.1.1,4.1.2,11.1.1",refugees + asylum-seekers,Migration profile = counts by origin only,OUTREACH,Census 2022 has full SDG module + refugee identifier
DROP,Kosovo,ex327,Kosovo Agency of Statistics,ask.rks-gov.net,"ethnicity only (Roma/Ashkali/Egyptian), NOT displacement status","6.1.1,6.2.1,7.1.1,4.1.2,11.1.1",displaced/refugee groups,VERIFIED: ReKos2024 mentions displacement only as historical context; no forced-displacement status flag; current displaced pop minimal,LOW PRIORITY,Recent 2024 census with SDG vars
1,Zambia,ex387,Zambia Statistics Agency,zamstats.gov.zm,refugees,"4.1.2,11.1.1,16.9.1",refugees among non-Zambians (settlements),Census release notes refugees as reason for non-citizen presence,OUTREACH (complements FDS already mapped),Would add census-scale education/housing/birthreg to the FDS food/water/sanit/electricity already computed
2,Belize,ex307,Statistical Institute of Belize,sib.org.bz,foreign-born,"6.1.1,6.2.1,7.1.1,4.1.2,11.1.1",Central American displaced (foreign-born proxy),Migration report = foreign-born counts,OUTREACH (confirm forced-displacement identifier first),Full SDG module; needs confirmation census separates asylum/refugee from economic migrants
2,Cote d'Ivoire,ex370,Institut National de la Statistique,ins.ci,foreign-born,"6.1.1,7.1.1,4.1.2,11.1.1",refugees + returnees,RGPH2021 migration tome = counts,OUTREACH (confirm identifier),Large cross-border displaced population in region
2,Mali,ex082,Institut National de la Statistique,instat-mali.org,citizenship,"6.1.1,6.2.1,7.1.1,4.1.2,11.1.1",IDPs (Sahel crisis),EMOP annual = general,OUTREACH (confirm IDP identifier in frame),Active IDP crisis; SDG module present
2,Djibouti,ex030,Institut National de la Statistique,instad.dj,unclear,"6.1.1,7.1.1,11.1.1,16.9.1",refugees (Ali Addeh/Holl-Holl),RGPH3 2024 provisional = counts,OUTREACH,Hosts refugees; confirm identifier in final census release
1,Armenia,ex218,Statistical Committee,armstat.am,"displaced (pre-2023 NK, in census)","4.1.2,11.1.1,16.9.1",refugees (incl. 2023 Nagorno-Karabakh arrivals),"CONFIRMED: Social Snapshot&Poverty 2024 = zero refugee mention; census/demog handbook = NK counts only, no SDG crosstab",OUTREACH,2022 census identifies pre-2023 NK displaced + collects housing/education/employment vars; ArmStat-UNHCR forced-displacement roundtable = warm outreach for custom tabulation
